"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"579",2.85221812589494,NA,0.485401203585109,NA,NA,NA,NA,0.0951594019163101,NA,NA,-0.119985045540972,NA,NA,NA,7,-35.0643639363874,86.202801946849,9.18207205204666,0.00134575412474209
"1539",2.83295666304428,NA,0.542422067393041,NA,NA,NA,NA,NA,NA,NA,-0.0839625596809255,-0.0490147802065547,NA,NA,7,-35.0671627131636,86.2083995004012,9.1876696055989,0.00134199292518555
"2883",2.99806357423516,NA,0.374095151973618,NA,NA,NA,NA,-0.194282602958212,NA,"+",-0.224379543225073,NA,0.252581588281838,NA,10,-30.9647644873537,86.2432544649036,9.22252457010127,0.00131880798169864
"273",2.92392004334029,NA,NA,NA,NA,0.0268176456784028,NA,NA,NA,"+",NA,NA,NA,NA,7,-35.0973699448586,86.2688139637912,9.24808406898896,0.0013020611839934
"2067",2.85450763865095,NA,0.394767040243176,NA,NA,0.0573667392879075,NA,NA,NA,NA,NA,NA,0.15865191481382,NA,7,-35.1212146768018,86.3165034276777,9.29577353287544,0.00127138111671407
"15",2.86007582903546,NA,0.401999351844241,-0.106881627616253,-0.0447038205574866,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-35.134438936652,86.3429519473781,9.3222220525758,0.0012546787242573
"3139",2.79205081920799,NA,0.320914424712321,NA,NA,NA,NA,0.153944868085079,NA,NA,NA,-0.314335856337421,0.28824708590569,NA,8,-33.8226169426225,86.3622150173205,9.34148512251818,0.00124265225191246
"5123",2.8288553611855,NA,0.534957288718979,NA,NA,NA,NA,NA,NA,NA,NA,-0.0823384348577617,NA,-0.0905019986942053,7,-35.1469415474797,86.3679571690334,9.34722727423113,0.00123908961977481
"2567",2.85752457984938,NA,0.372686448692237,-0.0522890153201773,NA,NA,NA,NA,NA,NA,-0.270615648833777,NA,0.314745950870013,NA,8,-33.8449127874196,86.4068067069147,9.38607681211244,0.0012152528515772
"1059",2.83554629478528,NA,0.489894928979373,NA,NA,NA,0.0834120953131888,NA,NA,NA,NA,-0.104582757370429,NA,NA,7,-35.1825811575294,86.4392363891329,9.41850649433059,0.00119570661747947
"1291",3.08368733349803,NA,0.426256025531327,NA,-0.0151209693496581,NA,NA,NA,NA,"+",NA,-0.152911388802571,NA,NA,9,-32.4944535209918,86.4504455035221,9.42971560871982,0.00118902395552684
"2339",3.19143548622254,NA,0.33912450979801,NA,NA,NA,0.0433780415682873,NA,NA,"+",NA,NA,0.137212858052945,NA,9,-32.5151328204074,86.4918041023533,9.47107420755106,0.00116468826289878
"643",2.84833704289721,NA,0.535082413552069,NA,NA,NA,NA,NA,0.0633482918100462,NA,-0.128357158041145,NA,NA,NA,7,-35.210913022563,86.4959001192,9.47517022439771,0.00116230541240762
"4163",2.85736443081051,NA,0.473188962747748,NA,NA,NA,NA,0.0635315604105078,NA,NA,NA,NA,NA,-0.100448079996847,7,-35.2127276189828,86.4995293120398,9.47879941723747,0.001160198209607
"2433",3.01534445500795,NA,NA,NA,NA,NA,NA,NA,-0.0385135230090249,"+",NA,NA,0.222796757159607,NA,8,-33.9013563108643,86.5196937538041,9.49896385900186,0.00114855960507111
"1035",2.83473369087609,NA,0.50011104339125,NA,-0.0840264585196165,NA,NA,NA,NA,NA,NA,-0.0820945081199643,NA,NA,7,-35.2228320118034,86.5197380976809,9.4990082028786,0.00114853413956065
"2337",3.04042719618415,NA,NA,NA,NA,NA,0.0856658243332614,NA,NA,"+",NA,NA,0.22820986764335,NA,8,-33.9177074747497,86.5523960815749,9.53166618677264,0.0011299320250647
"2081",2.94164126971302,NA,NA,NA,NA,NA,0.190901431388991,NA,NA,NA,NA,NA,0.37322518864126,NA,6,-36.5170402510486,86.56135322937,9.54062333456773,0.00112488285596923
"547",2.85900307321733,NA,0.502196650935649,NA,NA,NA,0.0845958870431691,NA,NA,NA,-0.102508653946054,NA,NA,NA,7,-35.2461134262574,86.5663009265889,9.54557103178664,0.00112210350534398
"1155",2.82154960063442,NA,0.517784962178167,NA,NA,NA,NA,NA,0.0396294744202051,NA,NA,-0.11797044631016,NA,NA,7,-35.2552153748159,86.5845048237058,9.56377492890351,0.00111193651685485
"772",3.13069699146006,0.0776592094576417,0.404129581710739,NA,NA,NA,NA,NA,NA,"+",-0.100596586323257,NA,NA,NA,9,-32.5694130946676,86.6003646508737,9.57963475607139,0.00110315382538142
"23",2.86004780741122,NA,0.384373539241989,-0.142256713641775,NA,-0.0119189152446282,NA,NA,NA,NA,NA,NA,NA,NA,7,-35.2669296607696,86.6079333956133,9.58720350081103,0.0010989869699642
"4611",2.84918875770423,NA,0.529564220464293,NA,NA,NA,NA,NA,NA,NA,-0.0490649990570821,NA,NA,-0.0828037864111124,7,-35.2862851869243,86.6466444479226,9.62591455312031,0.00107792003740472
"3077",2.84807528248058,NA,NA,-0.199084111341802,NA,NA,NA,NA,NA,NA,NA,-0.242065710007688,0.380133130953687,NA,7,-35.2929845102817,86.6600430946374,9.63931319983516,0.00107072283762306
"36",2.86613148678348,-0.0687366568636175,0.470330434652197,NA,NA,NA,0.125097793318951,NA,NA,NA,NA,NA,NA,NA,7,-35.3056893716597,86.6854528173935,9.66472292259124,0.0010572055021563
"99",2.87168005313274,NA,0.41368140096881,NA,NA,NA,0.0893974926885889,0.0724025881455301,NA,NA,NA,NA,NA,NA,7,-35.3185684291159,86.7112109323059,9.69048103750362,0.00104367699595277
"2571",2.85904192230296,NA,0.397331603091286,NA,-0.0545122934156188,NA,NA,NA,NA,NA,-0.271018696687693,NA,0.323620476262154,NA,8,-34.0016253509978,86.7202318340711,9.6995019392688,0.00103898014255131
