"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"4118",2.60495032855668,0.131965005240594,NA,-0.018577224497039,NA,-0.0281919126503893,NA,NA,NA,NA,NA,NA,NA,0.157312588746823,8,-3.88419328224813,25.4428051691474,46.5168281639235,3.45150137898926e-11
"3142",2.60091508808141,0.244230947362149,NA,-0.000791023984481107,NA,NA,NA,0.16451593229397,NA,NA,NA,0.0807239687797666,0.00729914766679935,NA,9,-2.66396339621836,25.4455738512603,46.5195968460363,3.44672662962737e-11
"6162",2.60898877473103,0.127532419144731,NA,NA,NA,-0.0437763473851749,NA,NA,NA,NA,NA,NA,0.0406032728798905,0.141138811142259,8,-3.8921827608154,25.458784126282,46.532807121058,3.42403554763164e-11
"4645",2.58296052058963,NA,NA,0.0909103011808346,NA,NA,0.124043937150231,NA,NA,NA,0.0938587103669653,NA,NA,0.131632833603361,8,-3.89771651595358,25.4698516365583,46.5438746313344,3.40514010292745e-11
"4122",2.60631419758131,0.14428227920518,NA,NA,0.0283328319205902,-0.0144395527710925,NA,NA,NA,NA,NA,NA,NA,0.144454386508221,8,-3.89825798394079,25.4709345725328,46.5449575673088,3.40329682765203e-11
"3281",2.53094897512801,NA,NA,NA,NA,-0.0554477153314653,NA,0.114139176046025,0.245457031188163,NA,NA,-0.0359500893767703,-0.00555298009552149,NA,9,-2.68298469647054,25.4836164517646,46.5576394465407,3.38178500264255e-11
"621",2.55035005239316,NA,NA,0.0834582533222379,-0.0622693030048813,NA,0.161996682547913,0.199917066377038,NA,NA,0.115482666227782,NA,NA,NA,9,-2.70016498884749,25.5179770365185,46.5920000312946,3.32418118958292e-11
"1114",2.60417296532461,0.248302476652762,NA,NA,-0.0167111602746811,-0.0156081220423798,NA,0.171209732335118,NA,NA,NA,0.0991157891886699,NA,NA,9,-2.70592533210697,25.5294977230375,46.6035207178136,3.30508780988039e-11
"6214",2.58142858117815,0.177426340465022,NA,-0.017736529622177,NA,NA,NA,0.156279687902879,NA,NA,NA,NA,-0.00656511618481438,0.0664115816759964,9,-2.7249807194583,25.5676084977401,46.6416314925162,3.24270433967638e-11
"6218",2.58347565411707,0.178485727037303,NA,NA,0.0115571187270667,NA,NA,0.152878261989513,NA,NA,NA,NA,0.00458796263823006,0.0589892230621928,9,-2.72886599080393,25.5753790404314,46.6494020352075,3.23012999660833e-11
